?;??;;;;;;;;;;;
0000001;MAGAZZINO;Reg. Bagnoli, 24;17031;Albenga;;IT;;;;;01120740095;
0000002;GPA TRANS;VIA MONTE BALDO 4/3;16166;GENOVA;GE;IT;0103462258;;0103461107;;03527010106;
0000003;MONDO OFFICE S.R.L.;Via per Gattinara 17;13851;CASTELLETTO CERVO;BI;IT;0161880880;;0161880881;;03695400964;
0000004;GASA GERMANY Gmbh;INDUSTRIESTR. 2C;D-476;KEVELAER;;DE;0049(0)283297490;;;;14419393;
0000005;SONNEVILLE PHILIP NV;DENEN 75;09080;LOCHRISTI;;BE;;;;;BE418474628;
0000006;WATERDRINKER AALSMEER B.V.;LEGMEERDK 313 PB 1167;01431;GB AALSMEER;NL;NL;;;;;007223122B01;
0000007;R.G.B. BAMBOO S.R.L.;Via 1 maggio 27/E;46030;S. Giorgio di Mantova;MN;IT;0376270752;;0376372011;info@rgb-bamboo.it;02097490201;
0000008;BIANCHI DINO SRL;VIA DELLA STAZIONE N. 76;51012;CASTELLARE DI PESCIA;PT;IT;0572451821;;0572453310;info@bianchid.it;;
0000009;HRUIZ s.l.;PASEO DE LA REINA N. 47;18340;FUENTE VAQUEROS - GRANADA;;SP;0034958516464;;0034958516302;;B18706903;
0000010;PEIRSMAN BVBA;ZONNEVELD N. 41;B-982;MERELBEKE;;BE;093626733;;093626831;;;
0000011;OTTONELLO AUTOTRASPORTI;STR. PROV. PER TOIRANO;17052;BORGHETTO SANTO SPIRITO;SV;IT;0182972933;;0182972933;;00835420092;
0000012;EUROFLEURS ELBERS GMBH;OTTERSWEG N. 6;47624;KEVELAER;;DE;0283250001;;028326237;;119945114;
0000013;UNIVERSO SRL;VIA DELLA REPUBBLICA N. 26;18100;IMPERIA;IM;IT;0184461200;3482518882;0184460299;gionatan@grandiflora.com;01032960088;
0000014;AMBIENTIDEA SRL;VIA MARENGO N. 3;24060;SAN PAOLO D'ARGON;BG;IT;035958602;;035958916;;03411770161;
0000015;E. DEN DEKKER BV;TRADEPARC WESTLAND;2675;LN HONSELERSDIJK;;NL;;;;;800923777B01;
0000017;FLORICOLTURA SARA DI DELFINO PIETRO;;;;;;;;;;00919800094;
0000026;SOLARO PIANTE S.S (PIERPAOLO);;;;;;0184660720;3356232722;;;;
0000039;EFFEELLE SOC. AGR. (BRIOZZO);;;;;;3478969078;3403907925;;fabrizio.briozzo@gmail.com;01375700091;
0000043;LATELLA FABIO AZ. FL. COD.317;VIA V. EMANUELE N. 140;18012;BORDIGHERA;IM;IT;;;;onlycactus@onlycactus.com;;
0000044;MEWES di MEWES JOCHEN COD.367;;;;;;;3358495057;;'mewes.jochen@libero.it';mewes.marc@libero.it;;
0000045;ALBERTI MAURO FLORICOLTURA COD.380;;;;;;;;;floralma@libero.it;;
0000046;DELOGU SIMONE AZ. FLORICOLA;;;;;;;;;;00959690090;
